id	offset	orig_size_bytes	english	control_codes	n_chars	n_lines	references	context	french	status
ODYSSEY-TXT-000038	0x0131944	4	büZ		3	1	0x01318F0	UNKNOWN		SKIP_NOISE
ODYSSEY-TXT-000039	0x0133361	3	éH		2	1	0x1075EBC	UNKNOWN		SKIP_NOISE
ODYSSEY-TXT-000040	0x0143544	4	♀éd		3	1	0x0142F54	UNKNOWN		SKIP_NOISE
ODYSSEY-TXT-000041	0x014887C	4	 :H		3	1	0x0148844	UNKNOWN		SKIP_NOISE
ODYSSEY-TXT-000042	0x0148DAE	4	 :g		3	1	0x0148D88	UNKNOWN		SKIP_NOISE
ODYSSEY-TXT-000043	0x0162DD6	2	 		1	1	0x034FAF8	UNKNOWN		SKIP_NOISE
ODYSSEY-TXT-000044	0x0163C47	2	 		1	1	0x034FD98	UNKNOWN		SKIP_NOISE
ODYSSEY-TXT-000045	0x0163C71	2	 		1	1	0x034FE08	UNKNOWN		SKIP_NOISE
ODYSSEY-TXT-000046	0x0164CCB	5	    		4	1	0x0350214	UNKNOWN		SKIP_NOISE
ODYSSEY-TXT-000047	0x0164CCC	4	   		3	1	0x0350230	UNKNOWN		SKIP_NOISE
ODYSSEY-TXT-000048	0x0164CCD	3	  		2	1	0x035024C	UNKNOWN		SKIP_NOISE
ODYSSEY-TXT-000049	0x0164CCE	2	 		1	1	0x0350268	UNKNOWN		SKIP_NOISE
ODYSSEY-TXT-000050	0x01651F2	24	                       		23	1	0x03503D4	UNKNOWN		SKIP_NOISE
ODYSSEY-TXT-000051	0x01651F3	23	                      		22	1	0x03503F0	UNKNOWN		SKIP_NOISE
ODYSSEY-TXT-000052	0x01651F4	22	                     		21	1	0x035040C	UNKNOWN		SKIP_NOISE
ODYSSEY-TXT-000053	0x01651F5	21	                    		20	1	0x0350428	UNKNOWN		SKIP_NOISE
ODYSSEY-TXT-000054	0x01651F6	20	                   		19	1	0x0350444	UNKNOWN		SKIP_NOISE
ODYSSEY-TXT-000055	0x01651F7	19	                  		18	1	0x0350460	UNKNOWN		SKIP_NOISE
ODYSSEY-TXT-000056	0x01651F8	18	                 		17	1	0x035047C	UNKNOWN		SKIP_NOISE
ODYSSEY-TXT-000057	0x01651F9	17	                		16	1	0x0350498	UNKNOWN		SKIP_NOISE
ODYSSEY-TXT-000058	0x01651FA	16	               		15	1	0x03504B4	UNKNOWN		SKIP_NOISE
ODYSSEY-TXT-000059	0x01651FB	15	              		14	1	0x03504D0	UNKNOWN		SKIP_NOISE
ODYSSEY-TXT-000060	0x01651FC	14	             		13	1	0x03504EC	UNKNOWN		SKIP_NOISE
ODYSSEY-TXT-000061	0x01651FD	13	            		12	1	0x0350508	UNKNOWN		SKIP_NOISE
ODYSSEY-TXT-000062	0x01651FE	12	           		11	1	0x0350524	UNKNOWN		SKIP_NOISE
ODYSSEY-TXT-000063	0x01651FF	11	          		10	1	0x0350540	UNKNOWN		SKIP_NOISE
ODYSSEY-TXT-000064	0x0165200	10	         		9	1	0x035055C	UNKNOWN		SKIP_NOISE
ODYSSEY-TXT-000065	0x0165201	9	        		8	1	0x0350578	UNKNOWN		SKIP_NOISE
ODYSSEY-TXT-000066	0x0165202	8	       		7	1	0x0350594	UNKNOWN		SKIP_NOISE
ODYSSEY-TXT-000067	0x0165203	7	      		6	1	0x03505B0	UNKNOWN		SKIP_NOISE
ODYSSEY-TXT-000068	0x0167483	3	  		2	1	0x0350754	UNKNOWN		SKIP_NOISE
ODYSSEY-TXT-000069	0x0167484	2	 		1	1	0x0350770	UNKNOWN		SKIP_NOISE
ODYSSEY-TXT-000070	0x016828A	2	 		1	1	0x0350A80	UNKNOWN		SKIP_NOISE
ODYSSEY-TXT-000071	0x0168775	2	 		1	1	0x0350B44	UNKNOWN		SKIP_NOISE
ODYSSEY-TXT-000072	0x0168C07	2	 		1	1	0x0350D3C	UNKNOWN		SKIP_NOISE
ODYSSEY-TXT-000073	0x0170522	2	 		1	1	0x0351A78	UNKNOWN		SKIP_NOISE
ODYSSEY-TXT-000074	0x017088A	2	 		1	1	0x0351AB0	UNKNOWN		SKIP_NOISE
ODYSSEY-TXT-000075	0x0170A7E	7	      		6	1	0x0351ACC	UNKNOWN		SKIP_NOISE
ODYSSEY-TXT-000076	0x01713D0	7	      		6	1	0x0351C00	UNKNOWN		SKIP_NOISE
ODYSSEY-TXT-000077	0x017232D	29	gs away.<FE>Another time, okay?	FE	27	2	0x0A3B6D4	DIALOGUE fragment	s’enfuit.<FE>Une autre fois, d’accord ?	TRANSLATED
ODYSSEY-TXT-000078	0x0172398	60	That totally stinks! I’m going to<FE>catch some stronger ones!	FE	58	2	0x0160598	DIALOGUE	Ça craint complètement ! Je vais<FE>attraper des plus costauds !	TRANSLATED
ODYSSEY-TXT-000079	0x0172433	79	ind stuff on<FE>the ground.<FB>I’m looking for the stuff I<FE>dropped. Can you help me?	FB;FE	75	3	0x0AF2E1C	DIALOGUE fragment	ve des trucs par terre.<FB>Je cherche ce que j’ai fait<FE>tomber.<FE>Tu peux m’aider ?	TRANSLATED
ODYSSEY-TXT-000080	0x0172434	78	nd stuff on<FE>the ground.<FB>I’m looking for the stuff I<FE>dropped. Can you help me?	FB;FE	74	3	0x0AA2948	DIALOGUE fragment	ve des trucs par terre.<FB>Je cherche ce que j’ai fait<FE>tomber.<FE>Tu peux m’aider ?	TRANSLATED
ODYSSEY-TXT-000081	0x0172482	61	I might be little, but I won’t like<FE>it if you go easy on me!	FE	59	2	0x01605BC	DIALOGUE	Je suis p’tit, mais je n’apprécierai<FE>pas que tu me ménages !	TRANSLATED
ODYSSEY-TXT-000082	0x01724BF	29	Oh, boo.<FE>Nothing went right.	FE	27	2	0x01605C0	DIALOGUE	Oh, zut.<FE>Rien n’a marché.	TRANSLATED
ODYSSEY-TXT-000083	0x0172514	7	volve?		6	1	0x0A54518	DIALOGUE fragment	évoluer ?	TRANSLATED
ODYSSEY-TXT-000084	0x017253F	26	ly.<FE>They’re a lot of fun!	FE	24	2	0x0A919FC	DIALOGUE fragment	ment.<FE>Ils sont hyper amusants !	TRANSLATED
ODYSSEY-TXT-000085	0x0172736	61	ON before attempting<FE>capture!<FB>When healthy, they may escape!	FB;FE	58	2	0x0AB0144	SAFARI ZONE tip fragment	MON avant de tenter de<FE>le capturer !<FB>En pleine forme, il peut s’échapper !	TRANSLATED
ODYSSEY-TXT-000086	0x0172737	60	N before attempting<FE>capture!<FB>When healthy, they may escape!	FB;FE	57	2	0x0AFB4D4	SAFARI ZONE tip fragment	MON avant de tenter de<FE>le capturer !<FB>En pleine forme, il peut s’échapper !	TRANSLATED
ODYSSEY-TXT-000087	0x0172809	20	d here in the dark.		19	1	0x0B53C0C,0x0B5B944	DIALOGUE fragment	ici dans le noir.	TRANSLATED
ODYSSEY-TXT-000088	0x017281D	39	Did you come to explore the cave,<FE>too?	FE	37	2	0x0160614	Mt Moon area	Tu es venu explorer la grotte,<FE>toi aussi ?	TRANSLATED
ODYSSEY-TXT-000089	0x017283D	7	,<FE>too?	FE	5	2	0x1A3D82C	UNKNOWN		SKIP_NOISE
ODYSSEY-TXT-000090	0x0172844	31	Losing stinks!<FE>It’s so uncool.	FE	29	2	0x0160618	DIALOGUE	Perdre, ça craint !<FE>C’est trop nul.	TRANSLATED
ODYSSEY-TXT-000091	0x01729AC	62	I came because I heard there are<FE>some very rare fossils here.	FE	60	2	0x016064C	Mt Moon area	Je suis venu car on m’a dit qu’il y<FE>avait de très rares fossiles ici.	TRANSLATED
ODYSSEY-TXT-000092	0x01729EA	48	Suspicious men are in the cave.<FE>What about you?	FE	46	2	0x0160670	Mt Moon / Team Rocket	Des hommes louches sont dans la<FE>grotte. Toi aussi ?	TRANSLATED
ODYSSEY-TXT-000093	0x0172A1A	12	You got me!		11	1	0x0160674	DIALOGUE	Tu m’as eu !	TRANSLATED
ODYSSEY-TXT-000094	0x0172AE0	32	Beware!<FE>ZUBAT is a bloodsucker!	FE	30	2	0x01605F0	Mt Moon area	Attention !<FE>NOSFERAPTI suce le sang !	TRANSLATED
ODYSSEY-TXT-000095	0x0172B00	100	Hi, I’m excavating for fossils here<FE>under MT. MOON.<FB>Sometimes, BROCK of PEWTER GYM<FE>lends me a hand.	FB;FE	96	3	0x01ACE14	Mt Moon area	Salut, je fouille pour trouver des<FE>fossiles sous MONT SÉLÉNITE.<FB>Parfois, PIERRE de l’ARÈNE ARGENTA<FE>me donne un coup de main.	TRANSLATED
ODYSSEY-TXT-000096	0x0172B64	53	Hey, stop!<FB>I found these fossils!<FE>They’re both mine!	FB;FE	50	2	0x01606E0	Mt Moon fossil dispute	Hé, arrête !<FB>J’ai trouvé ces fossiles !<FE>Ils sont à moi tous les deux !	TRANSLATED
ODYSSEY-TXT-000097	0x0172BAB	43	We’ll each take a fossil!<FE>No being greedy!	FE	41	2	0x0160700	Mt Moon fossil dispute	On prend chacun un fossile !<FE>Pas de gourmandise !	TRANSLATED
ODYSSEY-TXT-000098	0x0172CCB	49	You made me mad!<FE>TEAM ROCKET will blacklist you!	FE	47	2	0x01607F4	Team Rocket	Tu m’as mis en colère !<FE>La TEAM ROCKET va te blacklister !	TRANSLATED
ODYSSEY-TXT-000099	0x0172D82	45	We’re pulling a big job here!<FE>Get lost, kid!	FE	43	2	0x0160818	Team Rocket	On est en plein gros coup ici !<FE>Dégage, gamin !	TRANSLATED
ODYSSEY-TXT-000100	0x0172DAF	18	So, you are good…		17	1	0x016081C	DIALOGUE	Alors, t’es doué…	TRANSLATED
ODYSSEY-TXT-000101	0x0172E39	5	ews!		4	1	0x0508DC4	UNKNOWN		SKIP_NOISE
ODYSSEY-TXT-000102	0x01732C6	66	Urf… I feel ill…<FB>I got seasick, so I stepped out to<FE>get some air…	FB;FE	63	2	0x0160A74	S.S. Anne	Urf… Je me sens mal…<FB>J’ai le mal de mer, je suis sorti<FE>prendre l’air…	TRANSLATED
ODYSSEY-TXT-000103	0x0173421	8	he way!		7	1	0x06AECA0	DIALOGUE fragment	…le chemin !	TRANSLATED
ODYSSEY-TXT-000104	0x017345A	8	at was?		7	1	0x0E8697C	DIALOGUE fragment	…c’était ?	TRANSLATED
ODYSSEY-TXT-000105	0x01734A0	51	Hum-de-hum-de-ho…<FB>I peel spuds every day!<FE>Hum-hum…	FB;FE	48	2	0x0160B20	S.S. Anne crew	Hum-de-hum-de-ho…<FB>J’épluche des patates tous les jours !<FE>Hum-hum…	TRANSLATED
ODYSSEY-TXT-000106	0x01737D2	95	Using CUT, you can chop down<FE>small trees.<FB>Why not try it with the trees<FE>around VERMILION CITY?	FB;FE	91	3	0x0160B90	HM tip	Avec COUPE, tu peux couper les<FE>petits arbres.<FB>Pourquoi ne pas essayer avec ceux<FE>autour de CARMIN-SUR-MER ?	TRANSLATED
ODYSSEY-TXT-000107	0x0173903	56	How to Conquer Seasickness…<FE>The CAPTAIN’s reading this!	FE	54	2	0x0160BD4	S.S. Anne	Comment vaincre le mal de mer…<FE>Le CAPITAINE lit ça !	TRANSLATED
ODYSSEY-TXT-000108	0x01739B1	20	Wow! <FE>You’re great!	FE	18	2	0x0160C10	DIALOGUE	Waouh ! <FE>T’es génial !	TRANSLATED
ODYSSEY-TXT-000109	0x0173AC5	53	We are cruising around the world,<FE>my children and I.	FE	51	2	0x0160BE8	S.S. Anne	On fait le tour du monde en<FE>croisière, mes enfants et moi.	TRANSLATED
ODYSSEY-TXT-000110	0x0173B21	64	I always travel with WIGGLYTUFF.<FE>I never leave home without it.	FE	62	2	0x0160C20	S.S. Anne	Je voyage toujours avec GRODOUDOU.<FE>Je ne sors jamais sans lui.	TRANSLATED
ODYSSEY-TXT-000111	0x0173BA4	45	Waitress, I would like a cherry<FE>pie, please!	FE	43	2	0x0160C54	S.S. Anne	Serveuse, je voudrais une tarte<FE>aux cerises, s’il vous plaît !	TRANSLATED
ODYSSEY-TXT-000112	0x0173DB6	37	Fifteen years ago, I would<FE>have won!	FE	35	2	0x0160CD8	DIALOGUE	Il y a quinze ans, j’aurais<FE>gagné !	TRANSLATED
ODYSSEY-TXT-000113	0x0173F83	40	I don’t believe I saw you at the<FE>party?	FE	38	2	0x0160D10	S.S. Anne	Je ne crois pas t’avoir vu à la<FE>fête ?	TRANSLATED
ODYSSEY-TXT-000114	0x0173FAB	14	Take it easy!		13	1	0x0160D14	DIALOGUE	Doucement !	TRANSLATED
ODYSSEY-TXT-000115	0x01740D6	32	I hear many people get seasick.		31	1	0x0160D40	S.S. Anne	Il paraît que beaucoup de gens ont le mal de mer.	TRANSLATED
ODYSSEY-TXT-000116	0x017420E	43	I was going to make you my<FE>assistant, too!	FE	41	2	0x0160D58	DIALOGUE	J’allais faire de toi mon<FE>assistant, aussi !	TRANSLATED
ODYSSEY-TXT-000117	0x0174385	46	Come on, then!<FE>My sailor’s pride is at stake!	FE	44	2	0x0160DC4	S.S. Anne	Allez, viens !<FE>Ma fierté de marin est en jeu !	TRANSLATED
ODYSSEY-TXT-000118	0x01743B3	21	Your spirit sank me!		20	1	0x0160DC8	DIALOGUE	Ton cran m’a coulé !	TRANSLATED
ODYSSEY-TXT-000119	0x01743F8	76	My buddy MACHOKE is super strong!<FB>He has enough STRENGTH to move<FE>big rocks!	FB;FE	73	2	0x0160DD8	DIALOGUE	Mon pote MACKOGNEUR est super fort !<FB>Il a assez de FORCE pour déplacer<FE>de gros rochers !	TRANSLATED
ODYSSEY-TXT-000120	0x017446A	38	 Would you like to<FE>take a short rest?	FE	36	2	0x1A6CFF8	SYSTEM: overworld rest prompt	Voulez-vous vous reposer<FE>un instant ?	TRANSLATED
ODYSSEY-TXT-000121	0x0174490	64	I’m glad to see that everyone is<FE>looking refreshed and chipper.	FE	62	2	0x0160E10	DIALOGUE	Je suis content de voir que tout<FE>le monde a l’air frais et dispos.	TRANSLATED
ODYSSEY-TXT-000122	0x01744D0	69	Oh, I’m sorry for fussing over you.<FE>You look like my little brother…	FE	67	2	0x0160E30	DIALOGUE	Oh, désolé de m’inquiéter pour toi.<FE>Tu ressembles à mon petit frère…	TRANSLATED
ODYSSEY-TXT-000123	0x01745D9	83	The DEPARTMENT STORE in CELADON<FE>has a great selection.<FB>Do you go there very often?	FB;FE	80	2	0x0160EE0	DIALOGUE	Le GRAND MAGASIN de CÉLADOPOLE a<FE>un super choix.<FB>Tu y vas souvent ?	TRANSLATED
ODYSSEY-TXT-000124	0x0174744	64	I never wanted to lose to anybody,<FE>especially to a younger kid…	FE	62	2	0x0160F74	Victory Road	Je n’ai jamais voulu perdre, surtout<FE>contre un plus jeune que moi…	TRANSLATED
ODYSSEY-TXT-000125	0x0174877	61	This here is VICTORY ROAD.<FE>It’s the final test for TRAINERS!	FE	59	2	0x0161054	Victory Road	Voici la ROUTE VICTOIRE.<FE>L’épreuve ultime des DRESSEURS !	TRANSLATED
ODYSSEY-TXT-000126	0x01748B4	7	Atcho!		6	1	0x0161058	DIALOGUE	Atchoum !	TRANSLATED
ODYSSEY-TXT-000127	0x01749BB	56	Many TRAINERS give up their<FE>challenge here and go home.	FE	54	2	0x016108C	Victory Road	Beaucoup de DRESSEURS abandonnent<FE>ici et rentrent chez eux.	TRANSLATED
ODYSSEY-TXT-000128	0x0174ABC	38	I’ll teach you the technique<FE>anytime.	FE	36	2	0x01C4804	DIALOGUE	Je t’apprendrai la technique<FE>quand tu veux.	TRANSLATED
ODYSSEY-TXT-000129	0x0174C03	45	By fighting tough battles, you get<FE>stronger.	FE	43	2	0x0161158	Victory Road	En menant des combats difficiles,<FE>on devient plus fort.	TRANSLATED
ODYSSEY-TXT-000130	0x0174C8A	31	Only the chosen can pass here!		30	1	0x0161120	Victory Road	Seuls les élus peuvent passer ici !	TRANSLATED
ODYSSEY-TXT-000131	0x0174CA9	20	I don’t believe it!		19	1	0x0161124	DIALOGUE	Je n’y crois pas !	TRANSLATED
ODYSSEY-TXT-000132	0x0174E08	49	TYRA: We’re trying to become<FE>champions together.	FE	47	2	0x0161180	Victory Road, character TYRA	TYRA : On essaie de devenir<FE>champions ensemble.	TRANSLATED
ODYSSEY-TXT-000133	0x0174E39	15	TYRA: Oh, but…		14	1	0x0161184	Victory Road, character TYRA	TYRA : Oh, mais…	TRANSLATED
ODYSSEY-TXT-000134	0x0174E77	22	te in shape and form.		21	1	0x0597698	DIALOGUE fragment	…en pleine forme.	TRANSLATED
ODYSSEY-TXT-000135	0x0174ECA	35	Who are you?<FE>How did you get here?	FE	33	2	0x01611B4	DIALOGUE	Qui es-tu ?<FE>Comment es-tu arrivé ici ?	TRANSLATED
ODYSSEY-TXT-000136	0x0174EED	13	Oww!<FE>Beaten!	FE	11	2	0x01611B8	DIALOGUE	Aïe !<FE>Vaincu !	TRANSLATED
ODYSSEY-TXT-000137	0x0174FB3	46	SILPH SCOPE? Humph!<FE>I don’t know where it is.	FE	44	2	0x01611EC	Team Rocket / Pokemon Tower	Le SILPHOSCOPE ? Pff !<FE>Je ne sais pas où il est.	TRANSLATED
ODYSSEY-TXT-000138	0x017503A	32	Are you lost, you little mouse?		31	1	0x0161210	DIALOGUE	Tu es perdue, petite souris ?	TRANSLATED
ODYSSEY-TXT-000139	0x017505A	6	Why…?		5	1	0x0161214	UNKNOWN		SKIP_NOISE
ODYSSEY-TXT-000140	0x017508C	51	BOSS said you can see ghosts with<FE>the SILPH SCOPE.	FE	49	2	0x01612A8	Team Rocket / Pokemon Tower	Le BOSS a dit qu’on peut voir les<FE>fantômes avec le SILPHOSCOPE.	TRANSLATED
ODYSSEY-TXT-000141	0x01750BF	13	I surrender!		12	1	0x01612AC	DIALOGUE	Je me rends !	TRANSLATED
ODYSSEY-TXT-000142	0x017511A	48	Stop meddling in TEAM ROCKET’s<FE>affairs or else!	FE	46	2	0x01612C0	Team Rocket	Arrête de te mêler des affaires<FE>de la TEAM ROCKET, ou sinon !	TRANSLATED
ODYSSEY-TXT-000143	0x017514A	17	Oof!<FE>Taken down!	FE	15	2	0x01612C4	DIALOGUE	Ouf !<FE>Terrassé !	TRANSLATED
ODYSSEY-TXT-000144	0x01753D0	46	I know you!<FE>You ruined our plans at MT. MOON!	FE	44	2	0x01613D4	Team Rocket	Je te connais !<FE>Tu as ruiné nos plans au MONT SÉLÉNITE !	TRANSLATED
ODYSSEY-TXT-000145	0x01753FE	14	Burned again!		13	1	0x01613D8	DIALOGUE	Encore brûlé !	TRANSLATED
ODYSSEY-TXT-000146	0x017546A	30	BOSS!<FE>I’m sorry I failed you!	FE	28	2	0x016142C	Team Rocket	BOSS !<FE>Désolé de vous avoir déçu !	TRANSLATED
ODYSSEY-TXT-000147	0x01755F2	59	Can you solve the maze in here?<FE>It’s not easy, I tell you!	FE	57	2	0x0161690	DIALOGUE	Tu peux résoudre ce labyrinthe ?<FE>C’est pas facile, je te le dis !	TRANSLATED
ODYSSEY-TXT-000148	0x01756AD	43	Hey, kid!<FE>What are you wandering here for?	FE	41	2	0x01616B4	DIALOGUE	Hé, gamin !<FE>Qu’est-ce que tu fais à traîner ici ?	TRANSLATED
ODYSSEY-TXT-000149	0x01756D8	10	I goofed!		9	1	0x01616B8	DIALOGUE	J’ai fait une bêtise !	TRANSLATED
ODYSSEY-TXT-000150	0x017579D	36	Oh…<FE>But THUNDER WAVE is convenient…	FE	34	2	0x01C486C	DIALOGUE	Oh…<FE>Mais CAGE-ÉCLAIR est pratique…	TRANSLATED
ODYSSEY-TXT-000151	0x0175A15	26	Huh?<FE>TEAM ROCKET is gone?	FE	24	2	0x0161768	Team Rocket	Hein ?<FE>La TEAM ROCKET est partie ?	TRANSLATED
ODYSSEY-TXT-000152	0x0175A62	46	Fwahahaha!<FE>My BOSS has been after this place!	FE	44	2	0x01617A0	Team Rocket	Fwahahaha !<FE>Mon BOSS convoitait cet endroit !	TRANSLATED
ODYSSEY-TXT-000153	0x0175C0F	49	It’s not smart to pick a fight with<FE>TEAM ROCKET!	FE	47	2	0x016184C	Team Rocket	C’est pas malin de chercher des<FE>ennuis avec la TEAM ROCKET !	TRANSLATED
ODYSSEY-TXT-000154	0x0175CBD	46	Whaaat?<FB>There shouldn’t be any children<FE>here!	FB;FE	43	2	0x0161870	Team Rocket	Quoiii ?<FB>Il ne devrait pas y avoir d’enfants<FE>ici !	TRANSLATED
ODYSSEY-TXT-000155	0x0175CEB	14	Oh, goodness!		13	1	0x0161874	DIALOGUE	Oh, mon Dieu !	TRANSLATED
ODYSSEY-TXT-000156	0x0175F93	23	We got engaged.<FE>Heheh!	FE	21	2	0x01618EC	DIALOGUE	On s’est fiancés.<FE>Héhé !	TRANSLATED
ODYSSEY-TXT-000157	0x01760DE	38	I am one of the four ROCKET<FE>BROTHERS!	FE	36	2	0x016195C	Team Rocket brothers	Je suis l’un des quatre FRÈRES<FE>ROCKET !	TRANSLATED
ODYSSEY-TXT-000158	0x0176104	11	Flame out!		10	1	0x0161960	DIALOGUE	Flamme éteinte !	TRANSLATED
ODYSSEY-TXT-000159	0x0176181	60	ANCH!<FB>That’s why TEAM ROCKET came after<FE>us, I’m sure of it!	FB;FE	57	2	0x05F7C28	Team Rocket fragment	BRANCHE !<FB>C’est pour ça que la TEAM ROCKET<FE>nous a poursuivis, j’en suis sûr !	TRANSLATED
ODYSSEY-TXT-000160	0x017624D	25	SILPH CO. HEAD OFFICE<FE>6F	FE	23	2	0x0161938	Silph Co.	SIÈGE DE SILPHE SA<FE>6E ÉTAGE	TRANSLATED
ODYSSEY-TXT-000161	0x01762D7	46	<FD:01> obtained a LAPRAS from<FE>the SILPH employee!	FD;FE	42	2	0x0161B18	Silph Co.	<FD:01> a obtenu un LOKHLASS de<FE>l’employé de SILPHE !	TRANSLATED
ODYSSEY-TXT-000162	0x0176486	60	We canceled the MASTER BALL<FE>project because of TEAM ROCKET.	FE	58	2	0x0161BB0	Silph Co.	On a annulé le projet MASTER BALL<FE>à cause de la TEAM ROCKET.	TRANSLATED
ODYSSEY-TXT-000163	0x0176532	65	You!<FE>It’s really dangerous here!<FB>You came to save me?<FE>You can’t!	FB;FE	61	3	0x0161BE8	Silph Co.	Toi !<FE>C’est vraiment dangereux ici !<FB>Tu es venu me sauver ?<FE>Tu ne peux pas !	TRANSLATED
ODYSSEY-TXT-000164	0x0176554	31	ou came to save me?<FE>You can’t!	FE	29	2	0x0D0E798	Silph Co. fragment	u es venu me sauver ?<FE>Tu ne peux pas !	TRANSLATED
ODYSSEY-TXT-000165	0x01765B1	49	You won’t find my BOSS by just<FE>scurrying around!	FE	47	2	0x0161C58	Team Rocket	Tu ne trouveras pas mon BOSS en<FE>courant partout comme ça !	TRANSLATED
ODYSSEY-TXT-000166	0x0176643	38	I am one of the four ROCKET<FE>BROTHERS!	FE	36	2	0x0161C20	Team Rocket brothers	Je suis l’un des quatre FRÈRES<FE>ROCKET !	TRANSLATED
ODYSSEY-TXT-000167	0x0176669	24	Aack!<FE>Brothers, I lost!	FE	22	2	0x0161C24	Team Rocket brothers	Aïe !<FE>Frères, j’ai perdu !	TRANSLATED
