region,offset_start,offset_end,entropy,zero_ratio,ff_ratio,comp_sig_count,comp_lz77,comp_huffman,comp_rle,ptr_target_count,ptr_ref_sum,string_count,string_bytes,repeated_block_count,arm_bl_target_count,thumb_bl_target_count,classification,confidence
24,0x60000,0x63fff,6.1434,0.0959,0.0103,555,75,397,83,515,1168,89,390,124,107,59,table_pointeurs_probable,63
25,0x64000,0x67fff,5.8187,0.1066,0.0214,882,91,611,180,332,675,100,463,207,78,189,table_pointeurs_probable,53
26,0x68000,0x6bfff,6.2886,0.1122,0.0213,502,67,343,92,247,443,72,343,32,124,129,table_pointeurs_probable,49
27,0x6c000,0x6ffff,6.2779,0.1307,0.0165,346,37,270,39,279,1239,59,267,12,98,106,table_pointeurs_probable,65
28,0x70000,0x73fff,6.4413,0.1096,0.0140,306,40,208,58,349,1773,142,684,7,107,107,table_pointeurs_probable,75
29,0x74000,0x77fff,6.4837,0.1071,0.0134,322,78,177,67,167,1629,122,572,13,95,99,table_pointeurs_probable,72
30,0x78000,0x7bfff,6.4870,0.1209,0.0100,340,57,188,95,201,302,79,357,8,122,82,table_pointeurs_probable,46
31,0x7c000,0x7ffff,6.3937,0.1235,0.0243,304,43,178,83,213,293,44,195,29,107,90,table_pointeurs_probable,46
32,0x80000,0x83fff,6.3672,0.1182,0.0171,357,58,206,93,401,1621,57,252,7,134,100,table_pointeurs_probable,72
33,0x84000,0x87fff,6.5012,0.0955,0.0073,444,66,230,148,183,232,127,600,29,122,33,zone_compressee_possible,30
34,0x88000,0x8bfff,6.5462,0.1125,0.0100,345,59,217,69,152,233,88,418,9,110,101,zone_compressee_possible,30
35,0x8c000,0x8ffff,6.3880,0.1086,0.0125,305,9,212,84,259,334,48,232,7,98,66,table_pointeurs_probable,47
36,0x90000,0x93fff,6.3464,0.1313,0.0052,275,34,193,48,288,982,110,558,2,120,109,table_pointeurs_probable,59
37,0x94000,0x97fff,6.4143,0.1203,0.0087,357,35,284,38,80,153,133,630,12,108,134,zone_compressee_possible,30
38,0x98000,0x9bfff,6.5800,0.1089,0.0126,271,53,167,51,123,697,75,349,7,108,99,table_pointeurs_probable,54
39,0x9c000,0x9ffff,6.4510,0.1216,0.0126,341,48,214,79,138,202,80,400,11,106,121,zone_compressee_possible,30
40,0xa0000,0xa3fff,6.5662,0.0948,0.0145,294,74,115,105,436,1979,117,564,16,124,60,table_pointeurs_probable,79
41,0xa4000,0xa7fff,6.5321,0.0938,0.0080,366,67,172,127,143,280,129,589,5,126,6,table_pointeurs_probable,45
42,0xa8000,0xabfff,6.5718,0.0979,0.0078,362,84,162,116,134,274,139,640,18,115,10,table_pointeurs_probable,45
43,0xac000,0xaffff,6.6020,0.0921,0.0075,332,65,133,134,194,382,132,624,19,142,25,table_pointeurs_probable,47
44,0xb0000,0xb3fff,6.5170,0.0866,0.0067,326,69,155,102,346,891,129,606,26,116,2,table_pointeurs_probable,58
45,0xb4000,0xb7fff,6.6246,0.0923,0.0082,288,66,124,98,158,374,133,597,13,134,8,table_pointeurs_probable,47
46,0xb8000,0xbbfff,6.5717,0.0964,0.0054,260,49,133,78,156,709,140,648,12,126,16,table_pointeurs_probable,54
47,0xbc000,0xbffff,6.5099,0.1134,0.0115,342,55,204,83,148,177,113,564,5,120,97,zone_compressee_possible,30
48,0xc0000,0xc3fff,6.2734,0.1129,0.0291,287,41,191,55,376,698,49,1684,88,132,89,table_pointeurs_probable,54
49,0xc4000,0xc7fff,6.4868,0.1058,0.0215,231,47,117,67,114,148,131,638,118,139,86,zone_compressee_possible,30
50,0xc8000,0xcbfff,6.2834,0.1039,0.0914,261,43,160,58,205,293,108,563,123,98,34,table_pointeurs_probable,46
51,0xcc000,0xcffff,6.5684,0.1152,0.0081,246,21,176,49,195,214,117,559,25,123,47,zone_compressee_possible,30
52,0xd0000,0xd3fff,6.4828,0.1104,0.0103,359,57,168,134,359,659,103,461,45,109,38,table_pointeurs_probable,53
53,0xd4000,0xd7fff,6.4699,0.0726,0.0071,312,29,231,52,246,270,281,1264,259,109,17,table_pointeurs_probable,45
54,0xd8000,0xdbfff,6.5691,0.0992,0.0112,318,63,194,61,122,170,123,602,24,91,69,zone_compressee_possible,30
55,0xdc000,0xdffff,6.5290,0.1034,0.0094,333,62,199,72,222,313,135,626,49,113,21,table_pointeurs_probable,46
56,0xe0000,0xe3fff,6.5315,0.1025,0.0072,327,50,157,120,329,480,142,666,19,123,10,table_pointeurs_probable,49
57,0xe4000,0xe7fff,6.5964,0.1040,0.0081,298,36,203,59,168,198,123,611,19,112,57,zone_compressee_possible,30
58,0xe8000,0xebfff,6.5279,0.0817,0.0078,327,22,252,53,232,265,232,1033,91,131,25,table_pointeurs_probable,45
59,0xec000,0xeffff,6.5529,0.1028,0.0107,453,50,278,125,182,218,109,514,24,122,48,zone_compressee_possible,30
60,0xf0000,0xf3fff,6.6258,0.1002,0.0096,336,42,236,58,300,432,116,541,25,106,62,table_pointeurs_probable,48
61,0xf4000,0xf7fff,6.5817,0.1070,0.0100,353,31,261,61,147,300,111,531,34,101,106,table_pointeurs_probable,46
62,0xf8000,0xfbfff,6.4595,0.1260,0.0106,290,56,160,74,77,128,80,380,5,90,130,zone_compressee_possible,30
63,0xfc000,0xfffff,6.4777,0.1159,0.0082,487,103,317,67,123,173,137,646,5,88,135,zone_compressee_possible,30
64,0x100000,0x103fff,6.4048,0.1102,0.0170,538,114,309,115,434,549,144,646,10,107,116,table_pointeurs_probable,51
65,0x104000,0x107fff,6.6105,0.0906,0.0160,429,37,262,130,201,269,216,1024,3,114,74,table_pointeurs_probable,45
66,0x108000,0x10bfff,6.5570,0.0987,0.0142,318,62,164,92,169,261,79,370,11,112,96,table_pointeurs_probable,45
67,0x10c000,0x10ffff,6.5902,0.0957,0.0149,267,19,193,55,150,287,121,584,20,118,114,table_pointeurs_probable,46
68,0x110000,0x113fff,6.4605,0.1062,0.0114,304,41,216,47,270,397,120,580,19,115,159,table_pointeurs_probable,48
69,0x114000,0x117fff,6.6072,0.0682,0.0117,304,79,149,76,230,441,77,333,24,128,43,table_pointeurs_probable,49
70,0x118000,0x11bfff,6.6944,0.0834,0.0126,319,29,207,83,145,184,138,631,7,134,103,zone_compressee_possible,30
71,0x11c000,0x11ffff,6.5840,0.1032,0.0116,357,28,201,128,216,331,76,376,18,109,119,table_pointeurs_probable,46
72,0x120000,0x123fff,6.6060,0.0977,0.0154,276,58,158,60,266,417,92,469,22,186,103,table_pointeurs_probable,48
73,0x124000,0x127fff,6.4421,0.0973,0.0093,292,51,190,51,147,281,115,617,24,131,72,table_pointeurs_probable,45
74,0x128000,0x12bfff,6.3918,0.1117,0.0131,423,61,294,68,193,317,73,336,17,131,135,table_pointeurs_probable,46
75,0x12c000,0x12ffff,6.5359,0.1151,0.0095,366,33,273,60,95,166,91,428,35,106,59,zone_compressee_possible,30
76,0x130000,0x133fff,6.6073,0.1037,0.0120,299,35,205,59,273,359,101,469,22,111,75,table_pointeurs_probable,47
77,0x134000,0x137fff,6.4384,0.1302,0.0065,269,28,149,92,127,136,108,514,16,113,59,zone_compressee_possible,30
78,0x138000,0x13bfff,6.4531,0.1201,0.0128,326,36,222,68,52,57,90,445,15,125,94,zone_compressee_possible,30
79,0x13c000,0x13ffff,6.5642,0.1072,0.0111,345,35,215,95,146,184,64,293,32,127,101,zone_compressee_possible,30
80,0x140000,0x143fff,6.5409,0.1086,0.0147,400,36,272,92,299,340,122,570,11,109,108,table_pointeurs_probable,47
81,0x144000,0x147fff,6.5840,0.1095,0.0109,363,35,265,63,179,187,104,483,8,114,105,zone_compressee_possible,30
82,0x148000,0x14bfff,6.5270,0.1054,0.0122,374,30,199,145,108,120,116,561,9,153,134,zone_compressee_possible,30
83,0x14c000,0x14ffff,6.7086,0.0905,0.0062,407,30,269,108,162,171,106,492,17,99,52,zone_compressee_possible,30
84,0x150000,0x153fff,6.5139,0.1041,0.0062,349,39,137,173,244,280,102,470,6,132,83,table_pointeurs_probable,45
85,0x154000,0x157fff,6.6033,0.0916,0.0058,266,26,141,99,197,227,151,745,121,94,33,zone_compressee_possible,30
86,0x158000,0x15bfff,6.5773,0.0911,0.0089,302,47,169,86,112,231,234,1264,59,122,47,zone_compressee_possible,30
87,0x15c000,0x15ffff,6.6199,0.0948,0.0102,272,32,169,71,102,114,148,715,12,117,80,zone_compressee_possible,30
88,0x160000,0x163fff,2.2971,0.0350,0.7130,3,0,0,3,207,275,2,9,853,132,4,table_pointeurs_probable,45
89,0x164000,0x167fff,0.1771,0.0019,0.9858,0,0,0,0,68,72,0,0,998,133,5,padding_probable,85
90,0x168000,0x16bfff,1.1882,0.0149,0.8833,10,5,2,3,87,111,1,4,873,129,3,structures_repetees_possible,53
91,0x16c000,0x16ffff,2.1899,0.0324,0.7549,17,10,2,5,63,76,7,28,748,104,0,structures_repetees_possible,49
92,0x170000,0x173fff,0.8461,0.0102,0.9215,1,0,1,0,126,135,0,0,935,110,4,padding_probable,85
93,0x174000,0x177fff,0.3148,0.0039,0.9725,0,0,0,0,29,32,0,0,988,119,2,padding_probable,85
94,0x178000,0x17bfff,0.1810,0.0017,0.9851,0,0,0,0,9,10,0,0,1007,106,1,padding_probable,85
95,0x17c000,0x17ffff,0.1985,0.0018,0.9839,0,0,0,0,15,16,0,0,1002,108,3,padding_probable,85
96,0x180000,0x183fff,6.2802,0.0753,0.2241,176,91,54,31,111,122,137,684,212,126,3,zone_compressee_possible,30
97,0x184000,0x187fff,1.3239,0.0226,0.8496,0,0,0,0,45,46,0,0,849,150,1,structures_repetees_possible,52
98,0x188000,0x18bfff,0.9982,0.0154,0.8926,0,0,0,0,40,41,0,0,895,112,6,structures_repetees_possible,54
99,0x18c000,0x18ffff,0.7708,0.0116,0.9211,0,0,0,0,17,18,0,0,936,130,1,padding_probable,85
100,0x190000,0x193fff,1.4627,0.0258,0.8310,0,0,0,0,100,106,0,0,843,130,4,structures_repetees_possible,52
101,0x194000,0x197fff,1.7314,0.0294,0.7940,0,0,0,0,29,30,0,0,792,129,5,structures_repetees_possible,50
102,0x198000,0x19bfff,1.2023,0.0195,0.8670,0,0,0,0,13,13,0,0,871,110,11,structures_repetees_possible,53
103,0x19c000,0x19ffff,1.3001,0.0223,0.8544,0,0,0,0,17,17,0,0,870,118,6,structures_repetees_possible,53
104,0x1a0000,0x1a3fff,0.6067,0.0082,0.9451,5,4,1,0,77,81,0,0,961,152,18,padding_probable,85
105,0x1a4000,0x1a7fff,4.4858,0.0798,0.4240,22,12,8,2,150,287,5,20,417,128,15,table_pointeurs_probable,46
106,0x1a8000,0x1abfff,2.1571,0.0384,0.7557,7,3,0,4,31,46,2,8,761,139,8,structures_repetees_possible,49
107,0x1ac000,0x1affff,0.3087,0.0035,0.9736,0,0,0,0,123,129,1,4,992,131,12,padding_probable,85
108,0x1b0000,0x1b3fff,0.3701,0.0057,0.9688,1,0,0,1,364,370,0,0,989,121,8,padding_probable,85
109,0x1b4000,0x1b7fff,-0.0000,0.0000,1.0000,0,0,0,0,179,179,0,0,1024,125,8,padding_probable,85
110,0x1b8000,0x1bbfff,1.9682,0.0337,0.7782,10,3,7,0,185,287,3,12,799,127,13,table_pointeurs_probable,46
111,0x1bc000,0x1bffff,4.8394,0.1042,0.2872,14,11,3,0,105,530,11,47,280,153,19,table_pointeurs_probable,50
112,0x1c0000,0x1c3fff,3.0135,0.0419,0.6691,86,43,41,2,101,108,29,124,679,161,18,structures_repetees_possible,47
113,0x1c4000,0x1c7fff,2.8944,0.0810,0.6515,9,7,2,0,130,197,3,12,646,174,15,structures_repetees_possible,46
114,0x1c8000,0x1cbfff,5.1205,0.2521,0.0440,119,67,27,25,139,331,1,4,26,160,8,table_pointeurs_probable,46
115,0x1cc000,0x1cffff,5.1491,0.2512,0.0449,123,81,27,15,143,272,1,4,56,195,24,table_pointeurs_probable,45
116,0x1d0000,0x1d3fff,5.2131,0.2333,0.0524,122,64,33,25,176,347,1,4,46,169,22,table_pointeurs_probable,47
117,0x1d4000,0x1d7fff,5.6337,0.1885,0.0226,126,75,37,14,336,996,13,55,13,163,16,table_pointeurs_probable,60
118,0x1d8000,0x1dbfff,6.0409,0.0929,0.1046,239,192,36,11,482,874,27,228,108,186,13,table_pointeurs_probable,57
119,0x1dc000,0x1dffff,6.6139,0.1185,0.0150,392,69,219,104,102,212,166,840,16,196,125,zone_compressee_possible,30
120,0x1e0000,0x1e3fff,6.4941,0.1117,0.0096,388,50,184,154,89,133,124,594,10,177,122,zone_compressee_possible,30
121,0x1e4000,0x1e7fff,6.6644,0.0909,0.0167,322,37,204,81,49,349,173,845,50,135,59,zone_compressee_possible,30
122,0x1e8000,0x1ebfff,5.4513,0.2824,0.0776,199,38,106,55,39,65,101,802,313,136,68,zone_compressee_possible,30
123,0x1ec000,0x1effff,3.3178,0.3574,0.1893,3,3,0,0,13,14,37,216,580,143,5,structures_repetees_possible,43
124,0x1f0000,0x1f3fff,2.1156,0.7551,0.0174,1,1,0,0,62,65,66,375,754,155,6,structures_repetees_possible,49
125,0x1f4000,0x1f7fff,1.8107,0.7599,0.0565,0,0,0,0,18,20,75,445,808,178,15,structures_repetees_possible,51
126,0x1f8000,0x1fbfff,1.5925,0.8122,0.0000,2,2,0,0,8,9,25,122,844,143,14,structures_repetees_possible,52
127,0x1fc000,0x1fffff,1.9455,0.7669,0.0148,2,2,0,0,14,14,37,223,817,191,5,structures_repetees_possible,51
128,0x200000,0x203fff,1.8445,0.7537,0.0591,0,0,0,0,95,114,76,450,1024,173,12,structures_repetees_possible,58
129,0x204000,0x207fff,1.4991,0.8336,0.0196,1,1,0,0,12,16,13,61,906,121,14,structures_repetees_possible,54
130,0x208000,0x20bfff,2.9355,0.5646,0.0939,0,0,0,0,22,29,70,427,621,140,69,structures_repetees_possible,45
131,0x20c000,0x20ffff,0.7071,0.9223,0.0104,0,0,0,0,17,18,27,171,953,193,9,padding_probable,85
132,0x210000,0x213fff,1.9196,0.7405,0.0635,0,0,0,0,97,122,77,456,739,140,2,structures_repetees_possible,49
133,0x214000,0x217fff,1.2676,0.8631,0.0133,1,1,0,0,27,30,14,65,814,137,7,structures_repetees_possible,51
134,0x218000,0x21bfff,3.0788,0.5350,0.0987,0,0,0,0,12,12,74,452,504,135,55,structures_repetees_possible,41
135,0x21c000,0x21ffff,0.5544,0.9416,0.0059,0,0,0,0,12,13,24,159,1013,134,3,padding_probable,85
136,0x220000,0x223fff,2.0221,0.7212,0.0680,0,0,0,0,99,119,80,468,1024,198,2,structures_repetees_possible,58
137,0x224000,0x227fff,1.0553,0.8882,0.0093,1,1,0,0,26,31,13,61,981,139,8,structures_repetees_possible,57
138,0x228000,0x22bfff,3.1882,0.5159,0.0953,0,0,0,0,10,12,78,454,694,118,55,structures_repetees_possible,47
139,0x22c000,0x22ffff,0.4829,0.9546,0.0006,0,0,0,0,18,20,2,8,996,125,5,padding_probable,85
140,0x230000,0x233fff,3.8905,0.5097,0.0324,87,64,16,7,87,3007,41,207,394,123,4,table_pointeurs_probable,85
141,0x234000,0x237fff,6.4957,0.1641,0.0560,194,101,56,37,140,387,163,941,177,135,7,table_pointeurs_probable,48
142,0x238000,0x23bfff,5.0898,0.3818,0.0382,104,25,49,30,498,581,51,430,305,120,1,table_pointeurs_probable,51
143,0x23c000,0x23ffff,4.5468,0.4455,0.0901,59,6,26,27,288,313,0,0,151,140,1,table_pointeurs_probable,46
144,0x240000,0x243fff,3.5509,0.5826,0.0482,35,9,18,8,70,86,0,0,319,174,2,zone_indeterminee,10
145,0x244000,0x247fff,4.3771,0.4840,0.0479,150,97,30,23,73,73,138,1019,419,168,18,zone_compressee_possible,30
146,0x248000,0x24bfff,6.3980,0.0783,0.0264,476,183,211,82,49,215,333,1984,83,134,27,zone_compressee_possible,30
147,0x24c000,0x24ffff,6.5114,0.1015,0.0287,372,150,177,45,151,739,241,1295,104,157,66,table_pointeurs_probable,55
148,0x250000,0x253fff,5.4275,0.3295,0.0269,88,40,16,32,236,385,28,1770,153,167,31,table_pointeurs_probable,48
149,0x254000,0x257fff,4.2962,0.4795,0.0471,86,48,8,30,68,89,91,1304,477,127,1,structures_repetees_possible,40
150,0x258000,0x25bfff,5.3934,0.3130,0.0324,154,78,33,43,60,63,84,498,364,128,0,zone_compressee_possible,30
151,0x25c000,0x25ffff,4.8744,0.4322,0.0485,183,117,16,50,87,502,76,772,469,114,4,table_pointeurs_probable,50
152,0x260000,0x263fff,4.6321,0.2709,0.0056,51,19,14,18,164,334,241,6313,501,136,1,table_pointeurs_probable,47
153,0x264000,0x267fff,3.5871,0.3679,0.0006,1695,1,480,1214,22,25,54,8946,771,93,3,structures_repetees_possible,50
154,0x268000,0x26bfff,2.8110,0.5294,0.0030,492,6,484,2,16,19,30,4489,762,132,2,structures_repetees_possible,49
155,0x26c000,0x26ffff,6.4656,0.2014,0.0428,256,130,57,69,114,161,261,1627,144,144,13,zone_compressee_possible,30
156,0x270000,0x273fff,4.9395,0.1793,0.3355,122,68,36,18,120,139,118,640,429,149,19,zone_compressee_possible,30
157,0x274000,0x277fff,1.9226,0.0465,0.8063,15,11,2,2,33,49,53,298,888,155,2,structures_repetees_possible,54
158,0x278000,0x27bfff,4.9930,0.1314,0.3364,72,40,19,13,12,12,165,2549,451,123,9,zone_indeterminee,10
159,0x27c000,0x27ffff,1.7132,0.8095,0.0084,32,32,0,0,13,13,51,689,823,125,7,structures_repetees_possible,52
160,0x280000,0x283fff,5.1954,0.2537,0.2352,202,117,59,26,49,62,129,661,437,148,3,zone_compressee_possible,30
161,0x284000,0x287fff,4.7394,0.1736,0.3807,148,109,27,12,42,43,168,860,540,144,6,structures_repetees_possible,42
162,0x288000,0x28bfff,3.3656,0.0639,0.6391,71,35,29,7,13,13,69,382,714,115,10,structures_repetees_possible,48
163,0x28c000,0x28ffff,6.1483,0.1460,0.1899,159,95,52,12,30,46,168,953,302,141,9,zone_compressee_possible,30
164,0x290000,0x293fff,4.2187,0.1325,0.4825,106,72,21,13,47,66,116,620,619,113,9,structures_repetees_possible,45
165,0x294000,0x297fff,3.5068,0.0898,0.6033,80,39,26,15,27,30,130,693,710,139,5,structures_repetees_possible,48
166,0x298000,0x29bfff,1.5591,0.0433,0.8444,13,7,5,1,17,18,71,392,949,116,21,structures_repetees_possible,56
167,0x29c000,0x29ffff,4.0688,0.0836,0.5286,146,81,31,34,16,16,99,559,626,101,13,structures_repetees_possible,45
168,0x2a0000,0x2a3fff,4.9857,0.4047,0.0000,266,82,165,19,31,31,132,1007,176,163,20,zone_compressee_possible,30
169,0x2a4000,0x2a7fff,4.9684,0.0681,0.1348,15,6,8,1,50,52,115,940,468,141,22,structures_repetees_possible,40
170,0x2a8000,0x2abfff,3.6071,0.1823,0.5118,112,69,21,22,23,36,73,438,607,126,17,structures_repetees_possible,44
171,0x2ac000,0x2affff,4.2233,0.4070,0.1557,209,88,56,65,13,13,117,961,469,132,21,structures_repetees_possible,40
172,0x2b0000,0x2b3fff,4.4531,0.3612,0.1321,112,18,88,6,26,27,62,467,375,127,14,zone_compressee_possible,30
173,0x2b4000,0x2b7fff,4.7738,0.4357,0.0106,126,59,61,6,37,37,37,199,316,108,13,zone_compressee_possible,30
174,0x2b8000,0x2bbfff,2.9060,0.3903,0.3834,31,8,17,6,15,16,11,68,820,124,24,structures_repetees_possible,51
175,0x2bc000,0x2bffff,4.3509,0.3619,0.1791,65,9,54,2,7,7,22,152,411,132,19,zone_indeterminee,10
176,0x2c0000,0x2c3fff,4.9110,0.2019,0.3006,257,151,84,22,94,153,112,625,393,110,27,zone_compressee_possible,30
177,0x2c4000,0x2c7fff,3.9847,0.1912,0.4321,338,261,68,9,24,24,31,156,546,142,14,structures_repetees_possible,42
178,0x2c8000,0x2cbfff,2.9421,0.3067,0.4603,35,1,34,0,18,19,31,253,693,134,10,structures_repetees_possible,47
179,0x2cc000,0x2cffff,3.1049,0.4340,0.3013,82,39,42,1,10,10,13,113,679,124,10,structures_repetees_possible,47
180,0x2d0000,0x2d3fff,3.3779,0.5638,0.0966,43,22,21,0,32,33,2,18,585,106,27,structures_repetees_possible,44
181,0x2d4000,0x2d7fff,5.4654,0.1938,0.1426,197,6,84,107,169,1271,46,455,244,106,19,table_pointeurs_probable,65
182,0x2d8000,0x2dbfff,5.5211,0.0179,0.0101,1116,18,1,1097,52,59,112,1261,210,112,20,zone_compressee_possible,30
183,0x2dc000,0x2dffff,4.8651,0.0196,0.2944,112,1,8,103,52,55,132,1686,490,131,10,structures_repetees_possible,40
184,0x2e0000,0x2e3fff,5.0086,0.0049,0.1174,87,3,2,82,40,50,29,176,431,110,17,zone_indeterminee,10
185,0x2e4000,0x2e7fff,5.0410,0.0338,0.0001,42,3,3,36,34,41,14,103,352,109,13,zone_indeterminee,10
186,0x2e8000,0x2ebfff,4.4919,0.0751,0.2169,5,0,2,3,24,30,3,16,676,111,10,structures_repetees_possible,47
187,0x2ec000,0x2effff,4.7169,0.0229,0.1238,216,2,147,67,22,27,49,349,426,160,11,zone_compressee_possible,30
188,0x2f0000,0x2f3fff,4.7400,0.0060,0.1252,139,38,3,98,42,54,60,547,463,140,4,structures_repetees_possible,40
189,0x2f4000,0x2f7fff,4.0211,0.0066,0.0000,75,50,2,23,31,35,19,94,469,165,13,structures_repetees_possible,40
190,0x2f8000,0x2fbfff,4.3312,0.0840,0.1420,18,2,0,16,18,23,8,51,650,130,15,structures_repetees_possible,46
191,0x2fc000,0x2fffff,3.4256,0.0035,0.3049,54,7,1,46,14,19,4,24,819,161,11,structures_repetees_possible,51
192,0x300000,0x303fff,5.0422,0.0048,0.0719,550,11,1,538,41,50,50,377,354,156,16,zone_compressee_possible,30
193,0x304000,0x307fff,5.2306,0.0480,0.1406,23,13,9,1,56,71,61,552,276,134,16,zone_indeterminee,10
194,0x308000,0x30bfff,4.7811,0.0244,0.1649,46,6,1,39,47,63,96,1080,346,155,5,zone_indeterminee,10
195,0x30c000,0x30ffff,4.8566,0.0085,0.2795,111,42,19,50,24,33,30,191,513,130,8,structures_repetees_possible,41
196,0x310000,0x313fff,6.0703,0.0190,0.0003,374,21,32,321,42,47,62,595,173,98,7,zone_compressee_possible,30
197,0x314000,0x317fff,5.1780,0.0331,0.1174,171,11,1,159,63,77,20,160,344,139,10,zone_compressee_possible,30
198,0x318000,0x31bfff,5.5252,0.0331,0.0497,40,8,24,8,83,138,71,432,283,177,13,zone_indeterminee,10
199,0x31c000,0x31ffff,3.3250,0.0219,0.5753,84,44,17,23,57,81,48,710,699,102,6,structures_repetees_possible,47
200,0x320000,0x323fff,4.3444,0.0136,0.3319,97,2,5,90,74,108,38,243,588,132,7,structures_repetees_possible,44
201,0x324000,0x327fff,4.1452,0.0070,0.1172,71,14,1,56,26,34,43,266,653,114,21,structures_repetees_possible,46
202,0x328000,0x32bfff,1.8458,0.0055,0.2935,1,0,0,1,30,39,0,0,996,118,2,structures_repetees_possible,57
203,0x32c000,0x32ffff,4.2777,0.0901,0.0001,41,10,3,28,19,26,27,185,689,115,5,structures_repetees_possible,47
204,0x330000,0x333fff,4.4453,0.0019,0.1173,13,6,7,0,68,87,2,10,333,137,7,zone_indeterminee,10
205,0x334000,0x337fff,2.5830,0.0015,0.0000,253,253,0,0,38,39,0,0,889,175,9,structures_repetees_possible,54
206,0x338000,0x33bfff,5.1563,0.1714,0.1578,213,113,26,74,64,80,56,427,418,141,5,zone_compressee_possible,30
207,0x33c000,0x33ffff,3.9335,0.0223,0.4036,121,13,31,77,53,73,7,40,550,152,5,structures_repetees_possible,42
208,0x340000,0x343fff,5.3205,0.0751,0.1032,577,4,40,533,92,124,53,373,410,143,8,zone_compressee_possible,30
209,0x344000,0x347fff,4.9148,0.1468,0.0223,1660,60,3,1597,97,129,54,781,406,127,3,zone_compressee_possible,30
210,0x348000,0x34bfff,4.7108,0.1312,0.0865,1959,24,2,1933,75,99,28,253,605,89,5,structures_repetees_possible,44
211,0x34c000,0x34ffff,4.6769,0.1572,0.0925,1115,19,5,1091,186,201,6,24,721,95,2,structures_repetees_possible,48
212,0x350000,0x353fff,5.5527,0.2524,0.0673,64,20,20,24,432,712,59,1805,100,96,9,table_pointeurs_probable,54
213,0x354000,0x357fff,2.7098,0.6382,0.0128,0,0,0,0,33,55,83,2133,751,108,6,structures_repetees_possible,49
214,0x358000,0x35bfff,3.7916,0.4944,0.0082,16,1,13,2,89,188,120,3226,740,111,2,structures_repetees_possible,49
